,SSA,PS,C,H,O,N,ASH,pHBC,EC,BCA,SM,T,TS,VS,pHAD,DT,MY,Rmax
42,64,0.675,40.4,0.9,21.5,2.7,34.6,12.1,233.8943607,30,2,37,100,100,9.1,28,41.05,1.9
43,4.2,0.625,42.3,3.6,23.4,1.9,15.4,7.6,7.00E-05,15,0.2482,35,100,100,7,38,772.361,43.51329573
44,9.4,0.625,43.9,2,19.2,1.7,19.9,8.5,0.0019,15,0.2482,35,100,100,7,38,751.41,44.3190975
45,77.8,0.625,49.4,1.2,15.9,1.2,22.6,8.9,26.0714,15,0.2482,35,100,100,7,38,743.755,41.90169218
46,9.2,0.625,66.6,6.9,18.5,0.4,5.3,7.3,3.50E-07,15,0.2482,35,100,100,7,38,734.488,43.91619662
47,83.6,0.625,74.5,4.8,12.2,0.4,7.8,9.2,0.0001,15,0.2482,35,100,100,7,38,722.804,56.00322321
48,181.3,0.625,78.8,3.9,10.9,0.4,15,10,69.7857,15,0.2482,35,100,100,7,38,703.868,41.90169218
49,29.8,0.15,55.02,5.12,25.72,0.62,17.1,8.2,6.211940242,8,19.9596,35,11.6,56.9,6.75,34,184.12,11.04
50,32.8,0.15,64.82,4.37,19.13,0.38,19,8.3,6.865405544,8,19.9596,35,11.6,56.9,6.75,34,195.77,12.64
51,56.6,0.15,65.31,2.09,12.82,0.29,20.8,8.3,0.325834505,8,19.9596,35,11.6,56.9,6.75,34,218.45,13.82
52,16.1,0.15,58.12,3.92,29.32,1.52,2.5,9.3,10.51181472,8,19.9596,35,11.6,56.9,6.75,34,143.85,9.25
53,18.9,0.15,66.09,2.17,27.08,1.29,2.7,9.5,0.53864118,8,19.9596,35,11.6,56.9,6.75,34,125.5,9.94
54,26.3,0.15,69.88,1.92,19.82,1.03,3.6,9.7,0.55460449,8,19.9596,35,11.6,56.9,6.75,34,174.44,10.05
55,2.32,0.15,15.02,1.83,27.2,2.73,42.2,8.7,197.2557476,8,19.9596,35,11.6,56.9,6.75,34,155.86,12.6
56,1.92,0.15,16.86,1.62,26.63,2.27,56.3,9.5,2.372586449,8,19.9596,35,11.6,56.9,6.75,34,207.49,13.06
57,12.7,0.15,17.63,1.21,19.08,2.09,67.3,11.1,4.60111021,8,19.9596,35,11.6,56.9,6.75,34,165.85,10.85
58,240,0.184,74.5,1.51,23.27,0.7,47.4,1.59,0.394856656,10,7.0953421,37,31.1,97.1,7,50,216,17.13
59,240,0.184,74.6,2.51,23.28,0.8,47.5,1.59,1.127779881,30,7.253290892,37,31.1,97.1,7,50,307,20.58
60,240,0.184,74.7,3.51,23.29,0.9,47.6,1.59,4.778375186,10,2.817385652,37,2.87,81.115,7,50,363,21.42
61,240,0.184,74.8,4.51,23.3,0.1,47.7,1.59,14.62719724,30,3.104105776,37,2.87,81.115,7,50,428,27.51
62,240,0.184,74.9,5.51,23.31,0.11,47.8,1.59,15.34341169,10,3.437133857,37,4.8904,88.3931,7,50,501,20.53
63,240,0.184,74.1,6.51,23.32,0.12,47.9,1.59,30.69329,30,3.181512317,37,4.8904,88.3931,7,50,705,27.66
64,6.3,0.51,11.7,0.56,16.76,1.3,69.63,9.27738,3.942194657,1,15.82235195,20,9.654,20.67,7.7,35,309.43,21.4
65,6.3,0.51,11.7,0.56,16.76,1.3,69.63,9.33342,3.936392417,10,12.98953589,20,9.654,20.67,7.7,35,366.04,24.31
66,6.3,0.51,11.7,0.56,16.76,1.3,69.63,9.40895,4.043856107,1,12.92591546,35,9.654,20.67,7.7,35,400.94,29.85
67,6.3,0.51,11.7,0.56,16.76,1.3,69.63,9.40035,5.054051784,10,12.67743038,35,9.654,20.67,7.7,35,477.39,37.35
68,6.3,0.51,11.7,0.56,16.76,1.3,69.63,9.59403,4.918357893,1,13.06128448,55,9.654,20.67,7.7,35,383.33,31.07
69,6.3,0.51,11.7,0.56,16.76,1.3,69.63,9.5875,4.98236886,10,12.770732,55,9.654,20.67,7.7,35,428.57,38.49
70,130,0.0147,77.9,3.7,13.7,0.3,6.3,9.6,8.631573284,8.3,0.4879,35,61.2,97.2,7,31,139.7745,19.18426
71,130,0.0147,77.9,3.7,13.7,0.3,6.3,9.6,9.363571177,16.6,0.4879,35,61.2,97.2,7,31,130.0225,19.67616
72,130,0.0147,77.9,3.7,13.7,0.3,6.3,9.6,9.959608608,25.1,0.4879,35,61.2,97.2,7,31,117.5897,17.83152
73,130,0.0147,77.9,3.7,13.7,0.3,6.3,9.6,10.03552664,33.3,0.4879,35,61.2,97.2,7,31,114.5768,16.97069
74,39.19,0.25,65.26,3.03,23.58,0.49,7.64,7.7,0.10357,10,0.154,37,2.75,56,7.7,5,470,44.5
75,290.85,0.25,67.65,2.82,12.38,0.43,16.72,9,0.08387,10,0.154,37,2.75,56,9,5,470,44.1
76,296.6,0.25,71.41,2.06,5.34,0.39,20.8,9.4,0.08677,10,0.154,37,2.75,56,9.4,5,508,49.9
77,296.6,0.25,71.41,2.06,5.34,0.39,20.8,8.8,0.08677,10,0.203,37,12.98,85.7,8.8,5,89,45.3
78,307.27,0.25,71.41,2.06,5.34,0.39,20.8,8.8,0.0766,10,0.203,37,12.98,85.7,8.8,24,85,43.8
79,307.27,0.25,71.41,2.06,5.34,0.39,20.8,8.8,0.0766,10,0.203,37,12.98,85.7,8.8,24,92,42.8
80,307.27,0.25,71.41,2.06,5.34,0.39,20.8,8.8,0.0766,10,0.203,37,12.98,85.7,8.8,24,71,34.4
81,307.27,0.25,71.41,2.06,5.34,0.39,20.8,8.8,0.0766,10,0.203,37,12.98,85.7,8.8,24,62,32.3
82,296.6,0.25,71.41,2.06,5.34,0.39,20.8,8.8,0.0766,10,0.105,37,3.73,48.5,8.8,10,267,139.5
83,307.27,0.25,71.41,2.06,5.34,0.39,20.8,8.8,0.0766,10,0.105,37,3.73,48.5,8.8,10,275,132.9
84,307.27,0.25,71.41,2.06,5.34,0.39,20.8,8.8,0.0766,10,0.105,37,3.73,48.5,8.8,10,294,146.7
85,307.27,0.25,71.41,2.06,5.34,0.39,20.8,8.8,0.0766,10,0.105,37,3.73,48.5,8.8,10,260,128.7
86,307.27,0.25,71.41,2.06,5.34,0.39,20.8,8.8,0.0766,10,0.105,37,3.73,48.5,8.8,10,197,56.6
87,296.6,0.25,71.41,2.06,5.34,0.39,20.8,8.8,0.0766,10,10,37,29.3,89.5,8.8,18,89,45.3
88,307.27,0.25,71.41,2.06,5.34,0.39,20.8,8.8,0.0766,10,10,37,29.3,89.5,8.8,18,92,44.2
89,296.6,0.25,71.41,2.06,5.34,0.39,20.8,8.8,0.0766,10,20,37,29.3,89.5,8.8,18,185,473
90,307.27,0.25,71.41,2.06,5.34,0.39,20.8,8.8,0.0766,10,20,37,29.3,89.5,8.8,18,175,48.9
91,296.6,0.25,71.41,2.06,5.34,0.39,20.8,8.8,0.0766,10,30,37,29.3,89.5,8.8,18,180,25.7
92,307.27,0.25,71.41,2.06,5.34,0.39,20.8,8.8,0.0766,10,30,37,29.3,89.5,8.8,18,197,41.4
93,169.24277,0.75,83.2,3.24,7.24,0.4,5.49,8.63,10.79988216,10,1,35,100,100,7,21,314.87,50.21
94,169.84275,0.75,83.2,3.24,7.24,0.4,5.49,8.63,10.87022309,10,2,35,100,100,7,27,304.83,46.64
95,171.54389,0.75,83.2,3.24,7.24,0.4,5.49,8.63,12.05769151,10,3,35,100,100,7,31,287.64,34.14
96,168.3209,0.75,83.2,3.24,7.24,0.4,5.49,8.63,12.07968093,10,4,35,100,100,7,38,272.91,22.76
97,171.54389,0.75,83.2,3.24,7.24,0.4,5.49,8.63,12.05769151,10,3,35,100,100,7,31,287.64,34.14
98,167.46207,3.5,83.2,3.24,7.24,0.4,5.49,8.63,12.08366377,10,3,35,100,100,7,31,294.78,34.37
99,168.7852,1.125,83.2,3.24,7.24,0.4,5.49,8.63,11.01035637,10,3,35,100,100,7,31,320.45,47.98
100,76.7992684,0.048,45.7,2.343626,41.7,0.92063,5.88515,4.5229,1.736014782,10,0.50625,35,0.158,100,7,6.67,124.4444444,37.92592593
101,70.4684461,0.048,37.3,2.344326,31.8,0.94668,8.40121,4.56596,1.617008875,10,0.50625,35,0.158,100,7,6.67,160.3950617,64.47407407
